ResourceID,Analysis Color & Principal Mineralogical Composition,Analysis Compilation Date,Analysis Compiler,Analysis Crystal Orientation,Analysis MGS (mm),Analysis Microfabric,Analysis Name,Analysis Provenance Hypothesis,Analysis Sampling Date,Analysis Secondary Minerals & Accessories,Analysis Shape of Crystal's Borders,Analysis Texture,Cathodoluminescence Description,Identifier Content,Identifier Type,Isotopes Delta13C,Isotopes Delta18O,Luminescence Image,Luminescence Intensity,Luminescence Reference Image,Related Object,Related Object Withdrawal Point,Sliced Section Nicol incrociati,Sliced Section Nicol paralleli,TEMP SAMPLE
01e0cd2b-80a0-feb5-e496-6644c9382bd7,Grigio; Calcite,2016-10-18,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e62cd9f-4308-4df6-9d02-d552d059ce3c"", ""inverseOntologyProperty"": """"}]",presente,2.1,Eteroblastico/omeoblastico,H15_537,,2015-09-01,"Q: ++
Km: ++
Ap: ±
Gr: +
OP: ±","rettilinei, curvi, suturati, con rari tripli giunti","A mosaico, interconnessa",Tessitura omogenea,Marmora,internal identifier,1.0,-3.0,/files/uploadedfiles/crt_DSCN4470_H15_537.JPG,molto bassa,,"[{""resourceId"": ""f7d528a6-2f63-8820-65b7-7654d4fefa5d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ec440140-d797-4105-83cf-37202dc21144"", ""inverseOntologyProperty"": """"}]",,/files/uploadedfiles/crt_DSCN4475_H15_537.JPG,/files/uploadedfiles/crt_DSCN4472_H15_537.JPG,"[{""resourceId"": ""ece5afd5-5e0f-2a3c-6664-a9bd80bd15cc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3b6a4943-f891-4531-8d6f-48fa12370376"", ""inverseOntologyProperty"": """"}]"
03e9cb23-1fea-b3f7-b8e2-e4755d7b920c,"Bianco; Calcite, con presenza di Dolomite",2016-10-02,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1cd37f3f-b19b-47c3-898d-44b3bba243dd"", ""inverseOntologyProperty"": """"}]",,1.2,Omeoblastico,H15,,2005-08-29,"Q: ±
Km: ±
Gr: +++","rettilinei, curvi","A mosaico, grafite in grandi grani",,Marmora,internal identifier,3.68,-6.92,,,,"[{""resourceId"": ""bd4142b1-b682-0488-e7f5-8a56a111f695"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bbfb4dda-125e-4ea7-8f29-4e46248fde7d"", ""inverseOntologyProperty"": """"}]",,,,"[{""resourceId"": ""a1c34f7b-058c-2463-d128-688300811b92"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b6d9a27b-401e-462b-b38c-5d5fce08f196"", ""inverseOntologyProperty"": """"}]"
057d9ca9-1d38-2baa-1589-860c968eaa42,Bianco; Calcite,2016-02-20,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""86d153d8-ea34-48e0-a268-a29682333034"", ""inverseOntologyProperty"": """"}]",presente,3.2,Omeoblastico,C03,,2005-08-29,Q: ±,"curvi, suturati","A mosaico, leggera deformazione delle geminazioni polisintetiche",,Marmora,internal identifier,2.36,-3.03,,,,"[{""resourceId"": ""114b4fd2-9b87-b536-8c4c-7fe0f85d58d2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""abcf2e17-389c-43bb-8ed7-7e90737f0664"", ""inverseOntologyProperty"": """"}]",,,,"[{""resourceId"": ""a651f486-e9bb-0b1a-a053-8a1a509238da"", ""ontologyProperty"": """", ""resourceXresourceId"": ""53b45786-f754-4a21-9235-124f062380a3"", ""inverseOntologyProperty"": """"}]"
05f6ac27-0123-4993-a272-f7171d95613c,Bianco/striato; Calcite,2016-02-20,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ca0042d5-8d70-453e-a44d-e940385faa36"", ""inverseOntologyProperty"": """"}]",assente,,,MT62_3,,2013-09-03,,,,,Marmora,internal identifier,1.98,-4.0,,,,"[{""resourceId"": ""8d162986-5366-cecd-7aa4-5253bb920642"", ""ontologyProperty"": """", ""resourceXresourceId"": ""17132cff-844f-4a8e-b932-8783fd24cca5"", ""inverseOntologyProperty"": """"}]",,,,"[{""resourceId"": ""3e1c56b4-5679-0161-2cbf-428edd030262"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b235a92a-912e-4e16-86f7-537f4ba7749e"", ""inverseOntologyProperty"": """"}]"
0661982a-4478-5fce-5f0e-e48da4e2ce97,Grigio; Calcite,2016-10-10,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""31285321-e1cc-4ba6-810b-fb0d1940ed6a"", ""inverseOntologyProperty"": """"}]",assente,,,H13_017,Marmar Tepe?,2013-09-01,,,,,Marmora,internal identifier,0.43,-2.74,/files/uploadedfiles/crt_DSCN0684_H13_017.JPG,,,"[{""resourceId"": ""27d1af9a-fc2f-9ea3-e56d-5402b351e66a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""65ca79f1-2bda-44a9-8ca5-7de003aae485"", ""inverseOntologyProperty"": """"}]",,/files/uploadedfiles/crt_DSCN0689_H13_017.JPG,/files/uploadedfiles/crt_DSCN0686_H13_017.JPG,"[{""resourceId"": ""d51d65d9-cf56-f6b3-73a3-dab1def056a8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""557b414d-f29a-4c05-826a-6d8dcb221529"", ""inverseOntologyProperty"": """"}]"
06b52cad-25c7-0ff8-6fca-0cd05feea76f,Bianco; Calcite,2016-10-10,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9896a55d-306f-4fa1-96ad-665434007fac"", ""inverseOntologyProperty"": """"}]",presente,2.7,Eteroblastico,H14_414,"Marmar Tepe,Thiounta",2014-09-01,,"curvi, suturati",A mosaico,Tessitura omogenea,Marmora,internal identifier,1.86,-3.4,/files/uploadedfiles/crt_DSCN1934_H14_414.JPG,molto bassa,,"[{""resourceId"": ""895d2e6d-d1b1-5359-ef16-ba8c0158f463"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2bdfedfe-20b7-43fe-944f-ca8044a0bd0d"", ""inverseOntologyProperty"": """"}]",,/files/uploadedfiles/crt_DSCN1939_H14_414.JPG,/files/uploadedfiles/crt_DSCN1936_H14_414.JPG,"[{""resourceId"": ""7f8dcdb2-713a-7cac-1222-8dfac7b1ce95"", ""ontologyProperty"": """", ""resourceXresourceId"": ""00870b6c-d41c-4a61-a0eb-e3a56dc7844c"", ""inverseOntologyProperty"": """"}]"
06e233ac-6cee-492b-1360-16cd0e1efed1,Bianco/grigio; Calcite,2016-10-18,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""01862fef-5210-4b87-9a46-a67f4efa1a8b"", ""inverseOntologyProperty"": """"}]",assente,2.5,Eteroblastico,MT70_3,Marmar Tepe,2013-09-03,Gr: +,"golfi, curvi, suturati","A mosaico, matrice microcristallina",,Marmora,internal identifier,-0.11,-3.38,,,,"[{""resourceId"": ""6a191ef6-b6d8-0a74-5537-b4c3eb8172a0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ccbe0b98-ba7e-4e20-9a4b-a03a6ddedae4"", ""inverseOntologyProperty"": """"}]",,,,"[{""resourceId"": ""bb73d856-19a1-11d8-972a-87f7c0472038"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4dfd0652-68eb-471b-94de-8242cf1b98a1"", ""inverseOntologyProperty"": """"}]"
06f354a2-f726-32dd-b1d0-7a4d3228881a,Grigio; Calcite,2016-10-18,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""570f8ac2-dae7-4c6b-87ee-6555d419d760"", ""inverseOntologyProperty"": """"}]",assente,2.9,Eteroblastico/omeoblastico,H4,,2005-08-29,"Q: +
Gr: +
OP: +","rettilinei, curvi, suturati","A mosaico, debolmente lineata",Tessitura omogenea,Marmora,internal identifier,1.63,-3.46,,bassa,,"[{""resourceId"": ""6e1e6cdc-5fe4-8cbd-236d-a06215c3c216"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9b4c60be-080c-4bee-8237-8883e740a576"", ""inverseOntologyProperty"": """"}]",,,,"[{""resourceId"": ""7da42265-3410-8cf5-883a-f124374e9740"", ""ontologyProperty"": """", ""resourceXresourceId"": ""168ccae9-8456-430a-bcee-bc40d8298853"", ""inverseOntologyProperty"": """"}]"
098427ea-e007-7c89-f4c6-58acec37551a,Bianco; Calcite,2016-10-10,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""241d38d4-117c-4225-b6a2-500e6f6a1f04"", ""inverseOntologyProperty"": """"}]",assente,2.1,Eteroblastico,GM2_5,"Marmar Tepe,Thiounta",2013-09-01,"Q: +
Gr: ±","curvi, talvolta suturati
","A mosaico, tipo malta, debolmente lineata",Tessitura omogenea,Marmora,internal identifier,2.13,-2.67,,molto bassa,,"[{""resourceId"": ""1e416202-9ff0-bc27-4a9c-9b45f655ee14"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d6066180-1a67-4854-947f-21ea1ff19138"", ""inverseOntologyProperty"": """"}]",,,,"[{""resourceId"": ""2a67c830-2f1e-0421-4caa-450d9306ced8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""da9ba624-e626-40e5-b242-ce54a491c447"", ""inverseOntologyProperty"": """"}]"
0ab4ec30-4f14-8cfc-1ee4-62a54701a134,Bianco; Calcite,2016-10-18,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""73943a58-1dbd-465e-8990-3f14e1d4335f"", ""inverseOntologyProperty"": """"}]",,2.0,Eteroblastico,D3_A_7,Marmar Tepe,2013-09-09,Pl: ++,"curvi, talvolta suturati
",A mosaico,Tessitura omogenea,Marmora,internal identifier,2.67,-3.37,,molto bassa/bassa,,"[{""resourceId"": ""67effcdc-237f-168a-34ae-4b0edb2a5b2e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""56fda653-71b1-40af-8fc0-b25f4209ba1d"", ""inverseOntologyProperty"": """"}]",,,,"[{""resourceId"": ""c6f8ac73-d31e-b3c3-cde4-6d6ec5059c67"", ""ontologyProperty"": """", ""resourceXresourceId"": ""506cd756-52ab-4a9e-b109-88555b734cf6"", ""inverseOntologyProperty"": """"}]"
