ResourceID,Context Amount of debris (cm3),Context Bibliography,Context Chronology,Context Collection,Context Collections for the lifting machine,Context Compiler,Context Coordinates,Context Current status,Context Description,Context Era,Context Name,Context Presence of unfinished materials,Context Quality of the marble used/extracted,Context Quantity of extracted material (cm3),Context Square meters,Context Streets of contention,Context Surface,Context Traces of extraction tools,Context Typology,Identifier Content,Identifier Type
01a2cb5d-56ed-7dab-69ba-a45bd6a3e77f,,,,,,"[{""resourceId"": ""5cd531c6-e8cd-b191-bc5f-33fbeb4c4aef"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f07708e4-11c8-473e-9373-9d00ccbfdeb0"", ""inverseOntologyProperty"": """"}]",,,Contesto utilizzato quando la posizione specifica non è stata identificata.,,Non id.,,,,,,,,,Marmora,Internal Identifier
01bf6145-9344-522a-47ae-0ab0d58e4977,molti,Ditaranto 2016.,non id.,"[{""resourceId"": ""4cf24b33-6421-4ed5-80a2-844b76238b6e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bbc85db1-451f-4bbc-9a57-04fa8ac168aa"", ""inverseOntologyProperty"": """"}]",False,"[{""resourceId"": ""c65c1447-6c4d-dd67-7c01-1849ca8da069"", ""ontologyProperty"": """", ""resourceXresourceId"": ""037a47c3-f57c-406d-9848-0f3c2fc904e5"", ""inverseOntologyProperty"": """"}]","GEOMETRYCOLLECTION (MULTILINESTRING ((29.1353635730365 37.9556642254871, 29.1353463704317 37.9558190889564, 29.1354574382796 37.9558266123118, 29.1354963724745 37.9556732622372)))",In abbandono,"La cava è situata nel settore meridionale della sommità del Marmar Tepe; essa presenta l'accesso a sud e misura 11 m di larghezza, 16 di lunghezza e 2 di altezza. Le pareti conservano l'originario profilo a gradoni.",Ellenistica/Imperiale,Cava di marmo di Marmar Tepe n. 38,False,Marmo bianco,,176,False,reale,False,Cava sommitale,Marmora,Internal Identifier
04644717-d74c-742c-82ff-23ec48002174,molti,Brilli et alii 2015; Brilli et alii 2016; Scardozzi 2016b.,non id.,"[{""resourceId"": ""4cf24b33-6421-4ed5-80a2-844b76238b6e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""20ce404e-8adb-4e66-be98-163c64c5df2e"", ""inverseOntologyProperty"": """"}]",False,"[{""resourceId"": ""c65c1447-6c4d-dd67-7c01-1849ca8da069"", ""ontologyProperty"": """", ""resourceXresourceId"": ""470afdbb-f6c0-4c80-82a0-bf78a869ade7"", ""inverseOntologyProperty"": """"}]","GEOMETRYCOLLECTION (MULTILINESTRING ((29.0288462541781 37.710275418719, 29.0292034990765 37.7105163562049)))",In uso,Cava di marmo moderna posta lungo il pendio prospiciente la riva sinistra del torrente stagionale Domuzderesi; le moderne attività estrattive hanno probabilmente distrutto la cava antica.,Moderna,Cava di marmo di Denizli D4,False,Marmo bianco (varietà Denizli-1),,,True,,False,Cava di versante,Marmora,Internal Identifier
0caa7f18-a439-7bb2-3cef-90f4771c1613,,"D'Andria 2003, 98-106; Rossignani, Sacchi 2007; Atlante 2008, 89; Rossignani, Sacchi 2011; Rossignani, Baratto 2012; Atlante 2015, 129; Ismaelli, Scardozzi 2016b.",prima metà del II sec. d.C.,"[{""resourceId"": ""631b552d-b995-4229-abe1-eca50688f367"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7d9f0e3b-92a1-4c0e-8a6f-02b766bae809"", ""inverseOntologyProperty"": """"}]",False,"[{""resourceId"": ""757083b1-b3a8-ece9-9b7b-90ab08b0463f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cd2ce177-5c9f-4447-bcb7-b4b1757900a5"", ""inverseOntologyProperty"": """"}]","GEOMETRYCOLLECTION (MULTIPOLYGON (((29.1249493571996 37.9304438861131, 29.1252100691859 37.9305795218809, 29.1236711755221 37.9327451464238, 29.1233943881741 37.9326265963806, 29.1249493571996 37.9304438861131))))",Parzialmente scavato,"L'Agorà Nord era una vasta piazza rettangolare (125 x 250 m) bordata da portici, costruita nel corso del II sec. d.C. nel settore nord di Hierapolis; essa aveva verosimilmente una funzione commerciale, ma era anche utilizzata come spazio per agoni e giochi gladiatori: forse proprio la gradinata della Stoà-basilica veniva usata per ospitare gli spettatori. Sui lati ovest, nord e sud, la piazza era bordata da un doppio portico, mentre sul lato est si ergeva l'imponente Stoà-basilica. Posta ad una quota di 5 m rispetto al piano della piazza, alla Stoà-basilica si accedeva per mezzo di una grande scalinata; l'enorme edificio si estendeva per tutta la lunghezza dell'Agorà, circa 280 m, aveva una profondità di circa 20 m ed un'altezza anch'essa ricostruibile intorno ai 20 m. La facciata, articolata su due livelli, era composta da un corpo centrale (un grande arco affiancato da due tetrapili in posizione avanzata sulla scalinata) e da stoai ioniche laterali (28 pilastri con doppia semicolonna per lato), in marmo bianco. Il fornice centrale era inquadrato da piloni con pianta a doppia T, formati da pilastri e lesene; i pilastri, con capitelli corinzi, sorreggevano una trabeazione canonica, con architrave a due fasce, fregio a girali e cornice a modiglioni; le lesene, invece, con capitelli ornati da leoni che azzannano tori, sostenevano due archivolti contrapposti. I tetrapili laterali presentavano un'articolazione analoga: sui grandi pilastri corinzi poggiava la medesima trabeazione del fornice centrale, mentre le lesene reggevano gli archivolti. Questi erano impostati su mensole-capitello configurate a sfingi, sovrapposte ai capitelli figurati con leoni che azzannano tori. Al di sopra del livello delle cornici a modiglioni correva un attico di cui non è possibile ricostruire in dettaglio la decorazione. Le stoai laterali della facciata erano invece di ordine ionico. I pilastri con doppia semicolonna su basi attiche, con fusto liscio nel terzo inferiore e scanalato superiormente, sorreggevano grandi capitelli, contraddistinti dalla decorazione figurata del balaustrino: al centro, tra motivi a girali d'acanto, si dispone una Blattmaske, sostituita da una protome di gorgone nei capitelli degli angoli nord e sud. I capitelli sostenevano dadi articolati in architrave a due fasce e fregio a ghirlande, a loro volta sormontati da cornici a dentelli con decorazione ad anthemion sia sul soffitto che sulla sima. Su queste cornici si impostavano gli archi di collegamento tra i pilastri, su cui correva una muratura in blocchi di travertino, alla quale erano fissate le lastre marmoree di un fregio a baccellature sormontato da un kyma ionico. Una cornice marcapiano a dentelli, con sima decorata da un anthemion, concludeva l'architettura delle stoai laterali (e si poneva forse anche a coronamento dell'attico del corpo centrale). L'ordine superiore della facciata si articolava in pilastri e pilastri con semicolonna in breccia policroma, coronati da capitelli corinzi in marmo bianco sopra l'attico e da Blattkelchkapitelle sopra le stoai laterali. Gli intercolunni erano chiusi da plutei anch'essi in breccia policroma, che dovevano fungere da parapetto per la galleria del piano superiore della Stoà-basilica. Il muro di fondo dell'edificio, individuato grazie ad alcuni limitati saggi di scavo nel settore centrale, si trova a circa 20 m dalla facciata e testimonia l'esistenza di due fasi edilizie. La fase costruttiva originaria della Stoà-basilica, datata all'età adrianeo-antonina sulla base dei dati stratigrafici e stilistici, prevedeva un muro di fondo formato da un singolo filare di blocchi di travertino. La parete, in corrispondenza con i pilastri ionici della facciata, si articolava in semicolonne in travertino, sormontate da capitelli ionici in marmo. Una seconda fase edilizia di consolidamento, forse di età tardo-antica, comportò l'ispessimento del muro di fondo, attraverso la tamponatura degli spazi tra le semicolonne. Poco si sa dello spazio interno dell'edificio; i saggi stratigrafici e le prospezioni geofisiche hanno dimostrato l'assenza di un colonnato interno; si è evidenziato invece un basamento al centro della grande aula. In posizione adiacente al lato sud della Stoà-basilica doveva sorgere un edificio rettangolare di circa 28 x 38 m, dalla funzione ignota, i cui muri ovest e sud sono inglobati nelle mura difensive bizantine. La Stoà-basilica è stata oggetto, durante il Medioevo, di una estesa opera di spoliazione per il reimpiego dei materiali architettonici, utilizzati in gran numero proprio nelle mura bizantine. Nonostante il non ottimale stato di conservazione e la limitatezza delle indagini stratigrafiche, è possibile affermare che la Stoà-basilica costituì il più ambizioso e grandioso progetto edilizio della Hierapolis di II secolo d.C.; la lunga durata del cantiere è stata messa in evidenza anche attraverso l'analisi stilistica della decorazione architettonica.",Adrianeo-antonina,Agorà Nord - Stoà Basilica,False,"Marmar Tepe, Hierapolis-Gök Dere, Thiounta",,8326,False,reale,False,Portico,Marmora,Internal Identifier
0db30a73-0c23-8e24-47ed-383785fa4634,molti,"Scardozzi 2010, 356; Scardozzi 2012a, 120; Scardozzi 2012b, 575; Brilli et alii 2015, 129, 134; Ditaranto 2016.",non id.,"[{""resourceId"": ""4cf24b33-6421-4ed5-80a2-844b76238b6e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1dda6bcc-342f-4329-bda7-1006e093bc12"", ""inverseOntologyProperty"": """"}]",False,"[{""resourceId"": ""c65c1447-6c4d-dd67-7c01-1849ca8da069"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4bc7d2a6-fcf5-4d94-a5d9-be8ed61e8d31"", ""inverseOntologyProperty"": """"}]","GEOMETRYCOLLECTION (MULTILINESTRING ((29.0294062279152 38.0259959017638, 29.029476543494 38.026028389638, 29.0295288040449 38.0259395743087, 29.029457805858 38.0258944068543)))",Danneggiato,"La cava si trova lungo il pendio orientale del Güneşarkaç Tepe, appena 400 m a nord-est delle più note cave di alabastro, a cui sono collegate da una strada di lizza che corre a mezza costa e che è in parte tagliata nel banco roccioso. La cava è costituita da un fronte alto 15 m, parzialmente danneggiato dalla moderna attività estrattiva e in cui la coltivazione avveniva a gradoni; si conserva ancora un incasso (m 4 x 6, alt. 4 m), le cui pareti sono interamente coperte dai segni di piccone; all'interno vi sono molti detriti, che obliterano la parte bassa delle pareti. Le tracce di estrazione antica si riscontrano anche in altri punti del fronte risparmiati dai danneggiamenti moderni.",Non id.,Cava di marmo di Gölemezli GM1,False,Marmo bianco,,,True,,True,Cava di versante,Marmora,Internal Identifier
1062f88d-da79-0498-81c9-37d9816d4451,molti,Ditaranto 2016.,non id.,"[{""resourceId"": ""4cf24b33-6421-4ed5-80a2-844b76238b6e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""134a798e-1d02-4c44-a25b-f913da320893"", ""inverseOntologyProperty"": """"}]",False,"[{""resourceId"": ""c65c1447-6c4d-dd67-7c01-1849ca8da069"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5080e3ec-1843-4db1-84a0-1346c7576fbe"", ""inverseOntologyProperty"": """"}]",GEOMETRYCOLLECTION (MULTIPOINT (29.1170530494818 37.9497265049053)),In abbandono,"Sulla sommità del Marmar Tepe è presente un piccolo settore di estrazione caratterizzato da un profilo a gradoni, rivolto verso sud-est. La cava misura 9 m di lunghezza, 5 di larghezza e fino a 2 m di altezza.",Ellenistica/Imperiale,Cava di marmo di Marmar Tepe n. 50,False,Marmo bianco,,45,False,reale,False,Cava sommitale,Marmora,Internal Identifier
120a7b75-c13a-fbbe-fe20-b6a4e11b993e,molti,Ditaranto 2016.,non id.,"[{""resourceId"": ""4cf24b33-6421-4ed5-80a2-844b76238b6e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d9317c76-8c72-424c-9c63-39a64d4eb7a2"", ""inverseOntologyProperty"": """"}]",False,"[{""resourceId"": ""c65c1447-6c4d-dd67-7c01-1849ca8da069"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b7e62edc-f4ce-48eb-840c-ba7c8608e80c"", ""inverseOntologyProperty"": """"}]","GEOMETRYCOLLECTION (MULTILINESTRING ((29.1345761199244 37.9551003859105, 29.1345673902454 37.955215026688, 29.1346088868192 37.9552333538466, 29.1346688231513 37.9552227256887, 29.1346670352545 37.9550777472047)))",In abbandono,"Cava situata nel settore meridionale della sommità Marmar Tepe. Essa ha l'accesso a sud e presenta le tracce dei gradoni con cui avveniva l'estrazione.  Misura 14 m di larghezza, 28 di lunghezza e fino a 2,50 m di altezza. Al centro del settore estrattivo è visibile un nucleo risparmiato.",Ellenistica/Imperiale,Cava di marmo di Marmar Tepe n. 33,False,Marmo bianco,,392,False,reale,False,Cava sommitale,Marmora,Internal Identifier
13ecad5d-77ff-d649-ee64-f6c25c8c1d4b,molti,Ditaranto 2016.,non id.,"[{""resourceId"": ""4cf24b33-6421-4ed5-80a2-844b76238b6e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ba00e54a-cb72-47b5-b516-c06b8a6e65f3"", ""inverseOntologyProperty"": """"}]",False,"[{""resourceId"": ""c65c1447-6c4d-dd67-7c01-1849ca8da069"", ""ontologyProperty"": """", ""resourceXresourceId"": ""22625979-a6eb-474d-ba7f-fe27eb743dda"", ""inverseOntologyProperty"": """"}]","GEOMETRYCOLLECTION (MULTILINESTRING ((29.1343246842309 37.9590499995117, 29.134303958132 37.9591116308585, 29.1343838834506 37.959144608161, 29.1344063631743 37.9590884528085)))",In abbandono,"Sulla sommità del Marmar Tepe si apre un piccolo settore estrattivo, orientato a sud; caratterizzato dalla presenza di numerosi detriti, esso raggiunge i 10 m di lunghezza, 6 di larghezza e 2 m di altezza.",Ellenistica/Imperiale,Cava di marmo di Marmar Tepe n. 55,False,Marmo bianco,,60,False,reale,False,Cava sommitale,Marmora,Internal Identifier
14988181-6ac9-27d2-a7f9-d65abb26364b,molti,Ditaranto 2016.,non id.,"[{""resourceId"": ""4cf24b33-6421-4ed5-80a2-844b76238b6e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""216e6841-8b68-495a-803e-5253e41b402b"", ""inverseOntologyProperty"": """"}]",False,"[{""resourceId"": ""c65c1447-6c4d-dd67-7c01-1849ca8da069"", ""ontologyProperty"": """", ""resourceXresourceId"": ""99ece42c-8e21-431f-bca0-2e05cee1f570"", ""inverseOntologyProperty"": """"}]","GEOMETRYCOLLECTION (MULTILINESTRING ((29.1347626081798 37.9574629682439, 29.1346681981228 37.9575314634005, 29.1347298481804 37.9575799532617, 29.1348336163968 37.9575017479783)))",In abbandono,"Nella parte meridionale della sommità del Marmar Tepe, immediatamente ad est della cava n. 37, è scavato un incasso rivolto verso sud-est, lungo 7 m, largo 5 e alto fino a 4 m. Sono chiaramente visibili i gradoni prodotti dall'attività estrattiva e i segni delle picconate.",Ellenistica/Imperiale,Cava di marmo di Marmar Tepe n. 48,False,Marmo bianco,,35,False,reale,True,Cava sommitale,Marmora,Internal Identifier
163972a3-d5eb-c999-1b8b-eaab520a10a7,,"De Bernardi Ferrero, Ciotta, Pensabene 2007; Sobrà, Masino 2010; Masino, Sobrà 2012b; Sobrà 2012; Sobrà 2015; Ismaelli, Scardozzi, Sobrà 2016; Masino 2016; Sobrà 2016.",III sec. d.C.,"[{""resourceId"": ""631b552d-b995-4229-abe1-eca50688f367"", ""ontologyProperty"": """", ""resourceXresourceId"": ""13f993f2-0adb-4255-aabb-721f3b6768b4"", ""inverseOntologyProperty"": """"}]",False,"[{""resourceId"": ""465560e1-61af-8c1b-ea0f-f0db44930b39"", ""ontologyProperty"": """", ""resourceXresourceId"": ""70e4524e-f064-4431-a39f-6b59b0e4347d"", ""inverseOntologyProperty"": """"}]","GEOMETRYCOLLECTION (MULTIPOLYGON (((29.1288239084895 37.9271594063015, 29.1288608391536 37.9270792969913, 29.12872050263 37.9270137529453, 29.1287315818293 37.9269132519612, 29.1287962104915 37.9269234477195, 29.1288054431575 37.9269088823501, 29.1287722055598 37.9268986865899, 29.128827601556 37.9266132047279, 29.1288516064876 37.9266146612708, 29.1288682252865 37.9265301817335, 29.1288516064876 37.9265272686443, 29.1288756114193 37.9264879419284, 29.1289937895444 37.926501050836, 29.128980863812 37.9263029604273, 29.129115660736 37.9263116997213, 29.1292947744569 37.9263583092717, 29.1294314179141 37.9264427890065, 29.129510818842 37.9265287251889, 29.1295772940374 37.926621943985, 29.1296086851019 37.9266758360477, 29.1296179177679 37.9267632284976, 29.1296123781683 37.9268549904584, 29.1295625217717 37.9269671438103, 29.1295034327091 37.9270501663114, 29.1294055664493 37.9271346452513, 29.1293058536562 37.9271870804066, 29.1292042943299 37.9272176675632, 29.1292006012635 37.92722931981, 29.1288239084895 37.9271594063015))))",Interamente scavato,"Il Teatro è una struttura architettonica complessa, oggetto di numerosi interventi di costruzione e restauro tra il I e il IV secolo d.C. Addossato al pendio naturale ed in parte sostruito, il teatro risale ad età augustea, quando si realizzarono la cavea e il primo edificio scenico.
L'edificio scenico di età augustea, i cui pezzi sono stati in parte riutilizzati nella ricostruzione di età severiana, prevedeva due ordini, di cui l'inferiore ionico ed il superiore corinzio. Al primo ordine, il fregio-architrave aveva una decorazione a ghirlande sostenute da bucrani. Al secondo ordine la trabeazione era composta da un fregio-architrave decorato da racemi a sinusoide unica, e da cornici con modiglioni a bombatura arretrata: la presenza di elementi curvilinei suggerisce che si alternassero edicole o nicchie a pianta mistilinea. Alle porte della scena si attribuiscono alcune incorniciature dalla ricca sequenza di modanature. A questa fase primo-imperiale deve appartenere anche la cavea, con sedili in travertino, che giungevano sino all'orchestra, come hanno mostrato scavi recenti.
In età severiana il teatro fu fatto oggetto di un ampio programma di restauro, che interessò la fronte scena, il proscenio e la cavea stessa. Dopo la demolizione dell'edificio scenico originario, il cantiere vide la ricostruzione della scena, con una prima dedica dei lavori all'epoca di Settimio Severo nel 206/207 d.C., come documenta l'iscrizione incisa sull'architrave del primo ordine: essa riporta la dedica alla famiglia imperiale, il ruolo della città ed il parziale contributo finanziario dell'associazione dei tintori di porpora, relativo a 653 piedi di marmo docimeno. All'epoca di Caracalla il cantiere giunse al secondo ordine, con la dedica, non completata, incisa sull'architrave. Alla tarda età severiana si deve invece datare la costruzione del terzo ordine e del logeion, come prova anche una moneta di Elagabalo trovata sotto le lastre del pavimento del palcoscenico.
La scena, alta 24 m, prevedeva una facciata ad andamento mistilineo, fiancheggiata da due imponenti parasceni su cui proseguiva la struttura ipostila della fronte. Il primo piano consisteva in coppie alternate di colonne più piccole poste su quattro podi e coppie di colonne più grandi, dotate di piedistalli ottagonali, collocate davanti alle tre porte centrali. I podi erano decorati con i miti di Artemide (a sud) e Apollo (a nord), mentre le cinque porte erano riccamente decorate.
Le sei colonne più grandi sono composte da basi attiche-ioniche con plinto ottagonale, fusti monolitici lisci e capitelli corinzi normali, mentre le otto colonne più piccole sono dotate di basi ionico-attiche su plinto quadrato o ottagonale e capitelli corinzi del tipo a colpo di vento. La trabeazione si compone di un fregio-architrave con ricca decorazione acantina nel campo bombato, cieli dalla varia ornamentazione, e cornici con dentelli, modiglioni ed una alta sima decorata da anthemia. I quattro frontoni posti in corrispondenza dei podi recano timpani decorati da busti di divinità in rilievo, mentre quelli sopra le porte laterali sono arcuati e recano scudi bronzei applicati. La trabeazione rettilinea delle edicole poste sopra i podi è collega da segmenti curvi alla parete di fondo della scena.
Il secondo ordine si imposta su un podio (lysis) posto sullo stesso piano dei frontoni del primo ordine, decorato da Eroti che portano ghirlande, ed è interrotto dal rilievo con la famiglia imperiale, posto sopra la porta regia, e dai rilievi con il mito del ratto di Persefone sopra le porte laterali. Le colonne sono composte da basi ionico-attiche, fusti con scanalature a spirale e capitelli compositi. A differenza del primo, il secondo ordine era rettilineo, con solo tre grandi esedre curvilinee allineate alle tre porte principali. La trabeazione ripete le caratteristiche di quella sottostante, con fregio acantino continuo e cornice con dentelli e modiglioni, ma senza timpani. Sopra la cornice corre una lysis con ghirlande sostenute da geni e maschere teatrali. Il terzo ordine consisteva in una successione di esedre ricurve più grandi (allineate alle tre porte principali) e più strette (sull'asse delle rientranze curve del secondo), separate da trabeazioni sporgenti indipendenti; all'interno delle quattro esedre più grandi si inseriscono edicole dotate di piccoli frontoni, triangolari e curvi, quest'ultimi con busti di divinità.
Il proscenio, più ampio e profondo dell'originale, è sostenuto da archi e dotato di una fronte con cinque porte separate da nicchie con catini monolitici e rivestimento parietale in marmo pavonazzetto: edicole poste in corrispondenza delle porte si alternavano a colonne indipendenti sormontate da una trabeazione continua. Le colonne hanno basi ionico-attiche, fusti scanalati a spirale, capitelli compositi, un fregio-architrave con tralci acantini e cornici ioniche.
Il cantiere severiano vide anche importanti cambiamenti nella cavea, con la rimozione della proedria e delle tre file di sedili inferiori, quindi la costruzione di un balteo di separazione dell'orchestra, in funzione dei munera gladiatori e delle venationes. Contemporaneamente vennero ricostruiti in marmo i sedili della ima cavea e quelli di un cuneo della summa cavea.
La sistemazione severiana rimase sostanzialmente inalterata fino agli anni 350-352 d.C., quando la struttura ipostila della fronte venne restaurata, come ricorda una lunga iscrizione incisa sull'architrave del secondo ordine con dedica a Costanzo II. In quell'occasione parte del secondo e del terzo ordine venne smontata e successivamente ricostruita, con l'inserimento di pezzi di nuova realizzazione tra cui pilastri decorati con tirsi e girali.",Severiana,Teatro,False,"Marmar Tepe, Thiounta, Hierapolis-Gök Dere, Docimio, Aphrodisias, Denizli-2",,5268,False,reale,False,Teatro,Marmora,Internal Identifier
