ResourceID,Identifier Content,Identifier Type,Object Bibliography,Object Chronology,Object Compiler,Object Conservation State,Object Coordinates,Object Description,Object Dimensions Depth (cm),Object Dimensions Diameter (cm),Object Dimensions Height (cm),Object Dimensions Length (cm),Object Era,Object Excavation code,Object Geographical Context of Discovery,Object Geographical Context of Discovery Position,Object Material Autoptic Description,Object Material Origin,Object Material Type,Object Name,Object Photos,Object Reused?,Object Reused Function in the Original Context,Object Reused Original Context,Object Reused Position in the Original Context,Object Type
028f39df-ffc9-cbec-5087-279174a9141d,Marmora,internal identifier,"Ismaelli 2016e; Ismaelli 2017, 91, 260, fig. 183.",prima metà del III sec. d.C.,"[{""resourceId"": ""465560e1-61af-8c1b-ea0f-f0db44930b39"", ""ontologyProperty"": """", ""resourceXresourceId"": ""41f64a05-0aec-44a5-ae72-98dc501091ec"", ""inverseOntologyProperty"": """"}]","Integro; superfici ben conservate.
Il blocco è totalmente interessato da croste nere e localizzate colonizzazioni biologiche.",GEOMETRYCOLLECTION (POINT (29.1267606751795 37.9268505244405)),"Toichobate in marmo, in posto, della fase giulio-claudia, inglobato nella pavimentazione severiana. Sul piano di attesa porzione centrale a subbia, larga 41 cm, definita da linee guida incise a 18 cm dal margine sud; una linea guida segna la mezzeria in senso est-ovest ed una corre in direzione nord-sud a 8 cm dal margine orientale; tre incavi per perni con canalette (da ovest: 5 x 5,5 cm, prof. 6 cm; 7 x 5,5 cm, prof. 5,5 cm; 6 x 7 cm, prof. 5 cm). Lati nord e sud trattati a subbia.",79,,22,113,Severiana,PI-123,"[{""resourceId"": ""6727dadf-8778-ed84-d213-49fd1897d9c0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7ae769f9-2a13-46de-88e0-20363a0b3d50"", ""inverseOntologyProperty"": """"}]",primo ordine,Marmo bianco a grana molto grossa.,Marmar Tepe,marmo bianco,H13_151,"/files/uploadedfiles/ogg-H13_151_composta.jpg,/files/uploadedfiles/ogg-H13_151_logo(1).jpg,/files/uploadedfiles/ogg-H13_151_logo(2).jpg",True,non id.,"[{""resourceId"": ""6727dadf-8778-ed84-d213-49fd1897d9c0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a7581308-0db0-4d9f-897a-798b95abccef"", ""inverseOntologyProperty"": """"}]",primo ordine,blocco
04202f70-0c85-dd53-55d0-512f20ea6f5e,Marmora,internal identifier,Scardozzi 2016a.,non id.,"[{""resourceId"": ""5cd531c6-e8cd-b191-bc5f-33fbeb4c4aef"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7d3d2347-fcee-4f88-82ae-c70495d303f4"", ""inverseOntologyProperty"": """"}]","Le superfici sono coperte da patine e in parte interessate da lesioni, distacchi e fenomeni di disgregazione.",GEOMETRYCOLLECTION (POINT (29.1195867317216 37.9348139868253)),"Cassa di sarcofago a ghirlande semilavorate con dischi, posta al di sopra del tetto piano della tomba 29. Lo zoccolo è privo di modanature e le pareti presentano due ghirlande sui lati corti e tre sui lati lunghi; le ghirlande sono inframmezzate da sostegni verticali, sormontate da dischi e recano grappoli d'uva penduli i cui acini sono ben definiti. Il rilievo è generalmente piatto, con spigoli arrotondati, e rifinito a gradina.",162,,134,264,Moderna,,"[{""resourceId"": ""561df293-f685-e443-4095-41b6af76e6ce"", ""ontologyProperty"": """", ""resourceXresourceId"": ""655d1f4b-49a2-4f70-970d-37279173ba7c"", ""inverseOntologyProperty"": """"}]",in situ,Marmo bianco a grana fine.,Hierapolis–Gök Dere,marmo bianco,H13_148,/files/uploadedfiles/ogg-H13_148_logo (1).jpg,False,,,,cassa di sarcofago
043356eb-fc58-3719-2b65-394f8e7d133c,Marmora,internal identifier,Miccoli 2016.,prima metà del II sec. d.C.,"[{""resourceId"": ""efd518bd-4fc3-9cdc-e9d9-139f25a78dec"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4454bfb8-8741-4f6e-bbdf-6b8d12c97521"", ""inverseOntologyProperty"": """"}]","Spezzato in due parti. Si conservano solo due lati del kalathos e dell'abaco. Del kalathos mancano del tutto elici e volute. Le superfici sono molto abrase. Il blocco presenta fratture, perdita di modellato e decoesione.",GEOMETRYCOLLECTION (POINT (29.1271703520145 37.9254355863156)),"Capitello corinzio di pilastro, posto nell'area a sud della Stoà delle Sorgenti. Si conserva parte del kalathos, con tre foglie d'acanto della prima corona e tre della seconda, caratterizzate da una costolatura centrale ben marcata e delimitata da due profondi solchi. Al di sopra, al centro del kalathos, si imposta una foglia acantina supplementare. Restano inoltre due caulicoli, pertinenti ognuno ad una delle due facce conservate del capitello, da cui si dipartono calici acantini. Gli occhi d'ombra sono di forma allungata. L'abaco è profilato a cavetto, decorato da un motivo a baccellature, coronato da una seconda modanatura, del tutto deteriorata.",,,40,70,Adrianeo-antonina,,"[{""resourceId"": ""964f0f2b-28d3-3404-04b1-60142af1b805"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8f543c23-6ebf-48e2-be93-7c03ee7bb11d"", ""inverseOntologyProperty"": """"}]",primo ordine,Marmo bianco a grana grossa.,"Marmar Tepe?,Hierapolis–Gök Dere?",marmo bianco,H13_097,"/files/uploadedfiles/ogg-H13_097_DSC_0427 con logo.jpg,/files/uploadedfiles/ogg-H13_097_logo(1).jpg,/files/uploadedfiles/ogg-H13_097_logo(2).jpg",False,,,,capitello
05fe168f-5de2-4ec7-01a6-df772833e470,Marmora,internal identifier,"Ismaelli 2009a, 18, 53, 74, figg. 47, 71; Ismaelli 2016e.",non id.,"[{""resourceId"": ""465560e1-61af-8c1b-ea0f-f0db44930b39"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b37bb7c3-e86a-4a9b-9161-632bf14783fa"", ""inverseOntologyProperty"": """"}]","Integro, con semicolonna priva della parte superiore. Quasi del tutto perdute le lunulae; superfici ben conservate.",GEOMETRYCOLLECTION (POINT (29.1265565568717 37.9266484196326)),"Pilastro liscio con semicolonna a scanalature a spigolo vivo (portico sud, sesto pilastro da ovest, in situ). Semicolonna con lunulae alla base alte 7,5 cm; scanalature lavorate a gradina fine, con listello liscio lungo le creste (1 cm). Faccia interna del pilastro inferiormente trattata a gradina grossa, per un'altezza di 30,5-48,5 cm; sulle facce laterali, a ca. 40 cm dal piano di posa, porzione estroflessa del pilastro verso le scanalature, a forma di sedile con profilo a gola: superficie a gradina, con listello liscio (1 cm) lungo il margine anteriore. Sul lato sinistro del pilastro, alloggiamento per le lastre di chiusura dell'intercolunnio lungo lo spigolo interno (12,5 x 128 cm, ribassato di 2 cm): al suo interno due incavi quadrangolari (4 x 2,5 cm, prof. 5 cm, a 41,5 cm dal piano di posa; 3 x 2,5 cm, prof. 3 cm, a 121,5 cm dal piano di posa). Sul lato destro un incasso verticale (129,5 x 7,5 cm, ribassato di 1,7 cm) distinto dallo spigolo interno da un listello largo 4,5 cm: all'interno un incavo per perno metallico (3 x 3 cm, prof. 3 cm, a 123,5 cm dal piano di posa). Foro passante tra la faccia interna e il lato destro. Sul piano di attesa incasso per olivella (14 x 4 cm, prof. 9,5 cm) e due incavi per perno (6,5 x 7 cm, prof. 3,5 cm; 6 x 8 cm, prof. 3,5 cm).",47,,168,64,Romano-imperiale,SA47,"[{""resourceId"": ""56ca8348-7953-1afa-5c70-4b62124233c7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1bf13d88-77ac-4ca8-9a20-0354e29226d6"", ""inverseOntologyProperty"": """"}]",primo ordine,Marmo bianco a grana media.,"Marmar Tepe,Thiounta",marmo bianco,H13_133,"/files/uploadedfiles/ogg-H13_133_logo(1).jpg,/files/uploadedfiles/ogg-H13_133_logo(2).jpg,/files/uploadedfiles/ogg-H13_133_logo(3).jpg",False,,,,pilastro con semicolonna
0661c35c-8622-e443-02ff-016279b66153,Marmora,internal identifier,"Ismaelli 2009a, 125, fig. 137; 149, fig. 164; Ismaelli 2016a, 256, 267; Ismaelli 2016f.",seconda metà del I sec. d.C.,"[{""resourceId"": ""465560e1-61af-8c1b-ea0f-f0db44930b39"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ec270b1e-c57e-4679-9756-239fe1f2fb33"", ""inverseOntologyProperty"": """"}]","Mancano due lati dell'abaco. Un profondo incasso verticale taglia abaco e echino.
Il blocco presenta grosse mancanze e scarsa colonizzazione biologica.",GEOMETRYCOLLECTION (POINT (29.1266212198081 37.9257856718407)),"Capitello dorico lavorato con il sommoscapo. Il piano di attesa presenta uno scamillus circolare (diam. 57,5 cm; alto 1 cm), lavorato con scalpello a punta e gradina a denti larghi. L'abaco è coronato da un listello verticale e da un listello inclinato. L'echino presenta un profilo decisamente convesso ed un aggetto analogo a quello dell'abaco. Gli anuli sono resi come tre filetti, di altezza e aggetto pari a 1 cm. Nell'hypotrachelion le scanalature si concludono, al modo ionico, con un catino semicircolare. Piano di posa con porzione centrale ribassata (diam. 28 cm), incavo centrale circolare (diam. 3,5 cm, prof. 5 cm) e due incassi per perni (2 x 2 cm, prof. 4,5 cm; 3 x 3 cm, prof. 5 cm). Superfici a vista accuratamente polite.",,49,41,61,Flavia,STM46,"[{""resourceId"": ""5ada098a-8084-21f5-df5f-9bd5052b5101"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1977fa97-2d80-4241-9819-b02ec9a7127a"", ""inverseOntologyProperty"": """"}]",primo ordine,Marmo bianco a grana media.,"Thiounta,Marmar Tepe",marmo bianco,H13_084,"/files/uploadedfiles/ogg-H13_084_logo(1).jpg,/files/uploadedfiles/ogg-H13_084_logo(2).jpg",False,,,,capitello
0786a858-775f-e6ef-e229-bb761b482609,Marmora,internal identifier,"Masino, Sobrà 2012b, 216, fig. 16; Ismaelli 2017b, 327-328, fig. 15.",prima metà del III sec. d.C.,"[{""resourceId"": ""465560e1-61af-8c1b-ea0f-f0db44930b39"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4bb80155-e079-44ba-8027-325ef1eb7a38"", ""inverseOntologyProperty"": """"}]",Privo del coronamento del fregio sulla faccia interna e del coronamento dell'architrave sulla faccia anteriore; superfici coperte da patine.,GEOMETRYCOLLECTION (POINT (29.1285439796442 37.926559539024)),"Piano di attesa con incasso per olivella (8 x 4, prof. 10); presenta una porzione di 19 cm, ribassata (di 7 cm) lungo il margine anteriore, lavorata a subbia, ed una fascia rialzata, meglio rifinita lungo il bordo posteriore. Faccia anteriore con architrave a bande separate da astragalo (fusarole romboidali e perline a losanga)  e nastri ritorto; coronamento costituito da astragalo e anthemia di palmette aperte diritte e chiuse rovesce alternatamente.  Il blocco è ricavato da un precedente fregio-architrave, caratterizzato da architrave a tre fasce lisce (alto 28), coronate da astragalo (alto 1; perline allungate e fusarole romboidali), ovolo appiattito (alto 3,5), cavetto diritto (alto 3) e listello sommitale (alto 4); il fregio (alto 25) presenta un tralcio con stelo sfaccettato, a sinusoide unica, che si ingrossa in corrispondenza del calice. Quest'ultimo è bipartito e articolato in lobetti lanceolati. Nello spazio sopra gli avvolgimenti un calice acantino con foglie ripiegate ed una rosetta ad otto pelali appiattiti. Non si conserva il profilo del coronamento (alto 12 cm). Sul margine sinistro resta l'attacco della porzione aggettante della trabeazione in corrispondenza di una possibile edicola.",38,,53,96,Severiana,,"[{""resourceId"": ""163972a3-d5eb-c999-1b8b-eaab520a10a7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""eb7f4a13-1fc4-43dd-9a68-254195356356"", ""inverseOntologyProperty"": """"}]",,,in attesa dei dati,marmo bianco,H15_501,"/files/uploadedfiles/ogg-H15_501_logo(1).jpg,/files/uploadedfiles/ogg-H15_501_logo(2).jpg",True,,"[{""resourceId"": ""163972a3-d5eb-c999-1b8b-eaab520a10a7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""48f977e9-9394-4c86-9d40-0dfd0235c23e"", ""inverseOntologyProperty"": """"}]",non id.,architrave
08252bee-3bda-d5b6-94ff-16fd7b02b191,Marmora,internal identifier,Caggia 2016a; De Giorgi 2016.,prima metà del III sec. d.C.,"[{""resourceId"": ""f6107b26-8026-a2ec-161c-52ad4b886cb4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""88931308-108a-454a-a20d-8dec2541f476"", ""inverseOntologyProperty"": """"}]",,GEOMETRYCOLLECTION (POINT (29.1307893011368 37.9307474691625)),,,,,,Severiana,,"[{""resourceId"": ""c603f55b-c12f-70b2-f3ad-fe56fb4f1050"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e88d8a13-e732-4f3a-90d3-a87dd4e1adee"", ""inverseOntologyProperty"": """"}]",templon,Marmo bianco a grana molto grossa.,"Marmar Tepe,Gölemezli",marmo bianco,H14_412,"/files/uploadedfiles/ogg-H14_412_1.jpg,/files/uploadedfiles/ogg-H14_412_2.jpg",False,,,,base di colonna
082f435d-3066-9d0f-9ac6-73c307073f40,Marmora,internal identifier,"D'Andria 2013, 189-190; figg. 31-33; D'Andria, Ismaelli, Panarelli 2016.",prima metà del III sec. d.C.,"[{""resourceId"": ""465560e1-61af-8c1b-ea0f-f0db44930b39"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c9c9243e-991a-475a-89ce-f7b90cf4b337"", ""inverseOntologyProperty"": """"}]","Blocco frammentario, con ampie concrezioni e superfici annerite.",GEOMETRYCOLLECTION (POINT (29.1271894197192 37.9262836697294)),"Ginocchio destro della statua di Hades del Ploutonion. Il ginocchio è coperto dall'himation che forma un grosso fascio all'altezza delle anche, costituito da profonde pieghe a sezione semicircolare, senza segni di trapano. Sul lato della gamba destra il margine dell'himation forma una larga piega semicircolare. Tracce di gradina grossa sulla veste.",74,,82,98,Severiana,,"[{""resourceId"": ""2b45d6a7-78fd-d88b-ee52-4a82b5b6d5fc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fa4976a3-b5ad-4872-beed-a9798c885e4c"", ""inverseOntologyProperty"": """"}]",primo ordine,Marmo bianco a grana media.,Hierapolis–Gök Dere,marmo bianco,H14_433,/files/uploadedfiles/ogg-H14_433_logo(1).jpg,False,cornice,,,statua
08a79aeb-6e97-69e8-c427-9fef3b183aae,Marmora,internal identifier,Scardozzi 2016a.,prima metà del II sec. d.C.,"[{""resourceId"": ""5cd531c6-e8cd-b191-bc5f-33fbeb4c4aef"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f416eeb3-6def-46d1-af4e-59a091df670b"", ""inverseOntologyProperty"": """"}]","La cassa, priva del lato lungo orientale e di quello corto settentrionale, presenta cariature, licheni, perdita di materiale e depositi terrosi alla base.",GEOMETRYCOLLECTION (POINT (29.1317995767136 37.9248198284776)),"Cassa di sarcofago a ghirlande semilavorate con busti ritratto, posizionato su un basso piedistallo a blocchi (E221). Lo zoccolo presenta una modanatura liscia costituita, dal basso, da toro e alto listello; sulle pareti conservate della cassa sono presenti tre ghirlande sul lato lungo e due sul lato corto (rispettivamente quello occidentale e quello meridionale). Le ghirlande, inframmezzate da sostegni verticali, sono sormontate da busti ritratto e recano grappoli d'uva appesi. Il rilievo è piatto, con spigoli arrotondati, e rifinito a gradina.",145,,110,280,Adrianeo-antonina,,"[{""resourceId"": ""c8e4e87f-5017-b871-ca80-6b7ecbe9863a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""cc23a027-76c3-4a32-9755-b678212228b3"", ""inverseOntologyProperty"": """"}]",in situ,Marmo bianco a grana grossa.,Marmar Tepe,marmo bianco,H13_253,"/files/uploadedfiles/ogg-H13_253_composta.jpg,/files/uploadedfiles/ogg-H13_253_logo(1).jpg,/files/uploadedfiles/ogg-H13_253_logo(2).jpg,/files/uploadedfiles/ogg-H13_253_logo(3).jpg",False,,,,cassa di sarcofago
0965aa81-ae69-f770-d616-6b82dffc1132,Marmora,internal identifier,"Ismaelli, Scardozzi, Sobrà 2016.",prima metà del I sec. d.C.,"[{""resourceId"": ""bdc24d5c-670c-86f6-f9a7-c8d7d3891333"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5a301dcf-8078-4170-a7bf-b3b3c04bb2d0"", ""inverseOntologyProperty"": """"}]","L'elemento è stato rinvenuto in quattro grandi frammenti prodottisi dal crollo della struttura (dal basso: Q32, CL3C, CL3B, CL3A-Q21), dei quali l'inferiore era rimasto nella posizione originaria al di sopra del piedistallo; è stato ricostruito nel corso dell'intervento di restauro.",GEOMETRYCOLLECTION (POINT (29.1289062526356 37.9267762412851)),"L'elemento appartiene ai fusti delle colonne monolitiche del primo ordine della scaenae frons, poste su piedistallo ai lati delle porte.
Il fusto presenta un imoscapo con listello e cavetto, e un sommoscapo che presenta, dopo il cavetto di raccordo, un listello e un tondino di coronamento. È presente il canonico rigonfiamento del diametro in corrispondenza del primo terzo inferiore dell'altezza.",,77,527,,Augustea,,"[{""resourceId"": ""163972a3-d5eb-c999-1b8b-eaab520a10a7"", ""ontologyProperty"": """", ""resourceXresourceId"": ""867451e7-a1b5-429f-b9f6-01b67799f3bc"", ""inverseOntologyProperty"": """"}]",primo ordine,Marmo pavonazzetto.,Docimio,pavonazzetto,CL3A,"/files/uploadedfiles/ogg-CL3A_2.jpg,/files/uploadedfiles/ogg-CL3A.jpg",False,,,,fusto di colonna
